EmployeeID,PerformanceID,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
3012-1A41,PR01,5,4,5,1,0,4,4,4
CBCB-9C9D,PR02,5,4,4,1,3,4,4,3
95D7-1CE9,PR03,3,4,5,3,2,3,5,4
47A0-559B,PR04,5,3,2,2,0,2,3,2
42CC-040A,PR05,5,2,3,1,0,4,4,3
C219-6C2E,PR06,3,3,2,2,0,4,4,4
D906-B674,PR07,3,4,5,2,1,5,4,3
3C7D-86ED,PR08,4,5,4,1,1,3,3,2
3D71-8DC2,PR09,4,5,2,1,1,4,5,4
5476-CA0D,PR10,5,4,3,2,3,4,5,4
73CF-4956,PR100,4,3,3,2,0,4,3,3
277A-A6FA,PR1000,4,4,2,2,2,4,5,5
8BAB-B4A6,PR1001,3,5,3,2,2,3,5,5
111D-E5EF,PR1002,4,3,3,2,2,2,4,3
97F4-0B14,PR1003,3,5,4,1,0,5,5,5
5C03-1009,PR1004,3,4,3,2,3,2,4,4
BD1B-53A3,PR1005,3,4,2,3,1,4,5,5
DFA9-990E,PR1006,5,4,2,1,1,2,3,3
ED73-F078,PR1007,5,4,3,3,2,3,4,3
C6EC-FEB5,PR1008,5,4,2,2,0,4,4,3
D7EE-56FC,PR1009,3,3,4,2,1,2,3,3
C395-8C36,PR101,5,2,5,1,0,5,5,4
E348-E12B,PR1010,4,2,3,3,0,2,4,4
B3AF-7E58,PR1011,4,2,5,1,2,2,5,5
469A-8121,PR1012,3,4,3,2,0,4,5,4
9E22-6287,PR1013,3,5,3,1,1,4,3,3
D5DA-363A,PR1014,3,3,3,2,1,5,5,5
BFF3-AADC,PR1015,5,3,2,2,0,5,5,4
C0BE-FED0,PR1016,3,5,3,3,0,2,3,3
D565-284D,PR1017,4,3,4,2,1,5,4,3
00D4-DD53,PR1018,3,4,4,1,2,3,4,3
7FFD-C810,PR1019,4,4,2,2,1,5,5,4
07B2-D67A,PR102,3,3,3,3,1,5,3,3
1749-81A2,PR1020,3,3,5,3,0,3,5,4
FF14-A43E,PR1021,4,4,3,2,0,4,5,4
3CD6-5587,PR1022,3,5,4,3,2,5,3,3
4FC2-A40D,PR1023,5,4,2,2,0,2,4,3
9AAB-DCD0,PR1024,5,2,5,1,1,2,5,4
427A-8C69,PR1025,5,3,2,2,0,2,4,3
A923-9EF6,PR1026,3,4,5,3,2,5,3,2
5C61-8F3A,PR1027,4,2,2,2,1,4,4,4
CF2F-8CA3,PR1028,4,4,5,3,1,4,5,4
